
  List of known ISAKMP Vendor ID payloads. Based on the list found in
  FreeS/WAN NAT-Traversal Patch, Version 0.5 by Arkoon Network Security.

  Last updated Mar 27, 2003
  Please email corrections and new entries to vid-list@cipherica.com

  -----------------------------------+----------------------------------------------------------
   VID payload                       |  Name
                                     |
  * Published values *               |
                                     |
   054182a07c7ae206f9d2cf9d2432c482  |  SSH Sentinel
   09002689dfd6b712                  |  XAUTH
   09ec27bfbc09c75823cfecbffe565a2e  |  Ssh Communications Security IPSEC Express version 1.2.2
   0e58d5774df602007d0b02443660f7eb  |  SSH Communications Security IPSEC Express version 3.0.0
   12f5f28c457168a9702d9fe274cc0100  |  Cisco-Unity
   1952dc91ac20f646fb01cf42a33aee30  |  Ssh Communications Security IPSEC Express version 1.1.1
   1e2b516905991c7d7c96fcbfb587e461  |  MS NT5 ISAKMPOAKLEY
   27bab5dc01ea0760ea4e3190ac27c0d0  |  draft-stenberg-ipsec-nat-traversal-01
   2836d1fd2807bc9e5ae30786320451ec  |  SSH Communications Security IPSEC Express version 2.1.0
   3f2372867e237c1cd8250a75559cae20  |  SSH Communications Security IPSEC Express version 2.1.2
   4485152d18b6bbcd0be8a8469579ddcc  |  draft-ietf-ipsec-nat-t-ike-00
   4865617274426561745f4e6f74696679  |  HeartBeat Notify
   4f70656e5047503130313731          |  OpenPGP
   50760f624c63e5c53eea386c685ca083  |  ESPThruNAT
   5430888de01a31a6fa8f60224e449958  |  SSH Sentinel 1.2
   54494d4553544550                  |  TIMESTEP
   6105c422e76847e43f9684801292aecd  |  draft-stenberg-ipsec-nat-traversal-02
   621b04bb09882ac1e15935fefa24aeee  |  GSSAPI
   63d9a1a7009491b5a0a6fdeb2a8284f0  |  SSH Sentinel 1.4
   6880c7d026099114e486c55430e7abee  |  SSH Communications Security IPSEC Express version 4.2.0
   6a7434c19d7e36348090a02334c9c805  |  draft-huttunen-ipsec-esp-in-udp-00.txt
   7003cbc1097dbe9c2600ba6983bc8b35  |  KAME/racoon
   7a54d3bdb3b1e6d923892064be2d981c  |  SSH Communications Security IPSEC Express version 4.0.1
   7d9419a65310ca6f2c179d9215529d56  |  draft-ietf-ipsec-nat-t-ike-03
   7ee5cb85f71ce259c94a5c731ee4e752  |  SSH Sentinel 1.3
   7f21a596e4e318f0b2f4944c2384cb84  |  SSH Communications Security IPSEC Express version 2.0.0
   90cb80913ebb696e086381b5ec427b1f  |  draft-ietf-ipsec-nat-t-ike-02\n
   9aa1f3b43472a45d5f506aeb260cf214  |  SSH Communications Security IPSEC Express version 4.1.0
   a68de756a9c5229bae66498040951ad5  |  SSH Communications Security IPSEC Express version 2.1.1
   ad2c0dd0b9c32083ccba25b8861ec455  |  A GSS-API Authentication Method for IKE
   afcad71368a1f1c96b8696fc77570100  |  Dead Peer Detection
   b91623e693ca18a54c6a2778552305e8  |  SSH Sentinel 1.1
   c1111b2dee8cbc3d620573ec57aab9cb  |  Ssh Communications Security IPSEC Express version 1.2.1
   c40fee00d5d39ddb1fc762e09b7cfea7  |  Testing NAT-T RFC
   cd60464335df21f87cfdb2fc68b6a448  |  draft-ietf-ipsec-nat-t-ike-02
   e8bffa643e5c8f2cd10fda7370b6ebe5  |  Ssh Communications Security IPSEC Express version 1.1.2
   eb4b0d96276b4e220ad16221a7b2a5e6  |  SSH Sentinel 1.4.1
   f5ce31ebc210f44350cf71265b57380f  |  SSH Communications Security IPSEC Express version 3.0.1
   f64260af2e2742daddd56987068a99a0  |  SSH Communications Security IPSEC Express version 4.0.0
   fbf47614984031fa8e3bb6198089b223  |  Ssh Communications Security IPSEC Express version 1.1.0
                                     |
  * Unknown values *                 |
                                     |
   2b2dad97c4d140930053287f996850b0  | ?? Returned by SSH interop test host at 195.20.116.69
                                     |


